                       	strtok
Length   90/10, alignment 15/ 3, found:	229.053
Length   90/10, alignment 15/ 3, fail:	203.959
Length   90/10, alignment 15/ 9, found:	222.105
Length   90/10, alignment 15/ 9, fail:	211.873
Length   90/10, alignment 15/15, found:	223.296
Length   90/10, alignment 15/15, fail:	204.144
Length  100/10, alignment  0/ 0, found:	239.48
Length  100/10, alignment  0/ 0, fail:	203.882
Length  100/10, alignment  0/ 3, found:	241.267
Length  100/10, alignment  0/ 3, fail:	203.877
Length  100/10, alignment  0/ 9, found:	232.337
Length  100/10, alignment  0/ 9, fail:	210.436
Length  100/10, alignment  0/15, found:	233.772
Length  100/10, alignment  0/15, fail:	215.741
Length  100/10, alignment  3/ 0, found:	234.846
Length  100/10, alignment  3/ 0, fail:	205.111
Length  100/10, alignment  3/ 3, found:	232.664
Length  100/10, alignment  3/ 3, fail:	214.503
Length  100/10, alignment  3/ 9, found:	232.633
Length  100/10, alignment  3/ 9, fail:	214.058
Length  100/10, alignment  3/15, found:	231.866
Length  100/10, alignment  3/15, fail:	203.406
Length  100/10, alignment  9/ 0, found:	239.459
Length  100/10, alignment  9/ 0, fail:	203.72
Length  100/10, alignment  9/ 3, found:	252.865
Length  100/10, alignment  9/ 3, fail:	203.718
Length  100/10, alignment  9/ 9, found:	231.899
Length  100/10, alignment  9/ 9, fail:	212.643
Length  100/10, alignment  9/15, found:	232.209
Length  100/10, alignment  9/15, fail:	215.563
Length  100/10, alignment 15/ 0, found:	236.968
Length  100/10, alignment 15/ 0, fail:	205.938
Length  100/10, alignment 15/ 3, found:	232.159
Length  100/10, alignment 15/ 3, fail:	211.357
Length  100/10, alignment 15/ 9, found:	231.662
Length  100/10, alignment 15/ 9, fail:	212.139
Length  100/10, alignment 15/15, found:	232.928
Length  100/10, alignment 15/15, fail:	204.166
Length  110/10, alignment  0/ 0, found:	249.569
Length  110/10, alignment  0/ 0, fail:	204.026
Length  110/10, alignment  0/ 3, found:	252.584
Length  110/10, alignment  0/ 3, fail:	204.616
Length  110/10, alignment  0/ 9, found:	243.136
Length  110/10, alignment  0/ 9, fail:	214.093
Length  110/10, alignment  0/15, found:	242.562
Length  110/10, alignment  0/15, fail:	214.098
Length  110/10, alignment  3/ 0, found:	242.922
Length  110/10, alignment  3/ 0, fail:	204.097
Length  110/10, alignment  3/ 3, found:	249.805
Length  110/10, alignment  3/ 3, fail:	204.53
Length  110/10, alignment  3/ 9, found:	252.294
Length  110/10, alignment  3/ 9, fail:	204.424
Length  110/10, alignment  3/15, found:	242.283
Length  110/10, alignment  3/15, fail:	263.634
Length  110/10, alignment  9/ 0, found:	282.937
Length  110/10, alignment  9/ 0, fail:	227.21
Length  110/10, alignment  9/ 3, found:	242.544
Length  110/10, alignment  9/ 3, fail:	203.55
Length  110/10, alignment  9/ 9, found:	252.034
Length  110/10, alignment  9/ 9, fail:	203.659
Length  110/10, alignment  9/15, found:	251.175
Length  110/10, alignment  9/15, fail:	204.566
Length  110/10, alignment 15/ 0, found:	242.242
Length  110/10, alignment 15/ 0, fail:	204.255
Length  110/10, alignment 15/ 3, found:	248.538
Length  110/10, alignment 15/ 3, fail:	203.722
Length  110/10, alignment 15/ 9, found:	250.365
Length  110/10, alignment 15/ 9, fail:	206.417
Length  110/10, alignment 15/15, found:	242.467
Length  110/10, alignment 15/15, fail:	212.17
Length  120/10, alignment  0/ 0, found:	252.731
Length  120/10, alignment  0/ 0, fail:	211.387
Length  120/10, alignment  0/ 3, found:	252.607
Length  120/10, alignment  0/ 3, fail:	204.673
Length  120/10, alignment  0/ 9, found:	258.176
Length  120/10, alignment  0/ 9, fail:	203.471
Length  120/10, alignment  0/15, found:	260.345
Length  120/10, alignment  0/15, fail:	203.93
Length  120/10, alignment  3/ 0, found:	252.811
Length  120/10, alignment  3/ 0, fail:	209.896
Length  120/10, alignment  3/ 3, found:	252.471
Length  120/10, alignment  3/ 3, fail:	211.042
Length  120/10, alignment  3/ 9, found:	252.642
Length  120/10, alignment  3/ 9, fail:	203.978
Length  120/10, alignment  3/15, found:	258.729
Length  120/10, alignment  3/15, fail:	204.001
Length  120/10, alignment  9/ 0, found:	260.206
Length  120/10, alignment  9/ 0, fail:	203.692
Length  120/10, alignment  9/ 3, found:	252.624
Length  120/10, alignment  9/ 3, fail:	203.744
Length  120/10, alignment  9/ 9, found:	258.322
Length  120/10, alignment  9/ 9, fail:	203.521
Length  120/10, alignment  9/15, found:	260.788
Length  120/10, alignment  9/15, fail:	203.387
Length  120/10, alignment 15/ 0, found:	252.856
Length  120/10, alignment 15/ 0, fail:	211.685
Length  120/10, alignment 15/ 3, found:	252.743
Length  120/10, alignment 15/ 3, fail:	211.194
Length  120/10, alignment 15/ 9, found:	252.674
Length  120/10, alignment 15/ 9, fail:	203.647
Length  120/10, alignment 15/15, found:	258.583
Length  120/10, alignment 15/15, fail:	203.451
Length  130/10, alignment  0/ 0, found:	270.579
Length  130/10, alignment  0/ 0, fail:	203.326
Length  130/10, alignment  0/ 3, found:	262.957
Length  130/10, alignment  0/ 3, fail:	211.181
Length  130/10, alignment  0/ 9, found:	262.694
Length  130/10, alignment  0/ 9, fail:	211.549
Length  130/10, alignment  0/15, found:	262.759
Length  130/10, alignment  0/15, fail:	203.229
Length  130/10, alignment  3/ 0, found:	268.716
Length  130/10, alignment  3/ 0, fail:	204.102
Length  130/10, alignment  3/ 3, found:	281.69
Length  130/10, alignment  3/ 3, fail:	203.636
Length  130/10, alignment  3/ 9, found:	261.524
Length  130/10, alignment  3/ 9, fail:	211.75
Length  130/10, alignment  3/15, found:	262.759
Length  130/10, alignment  3/15, fail:	216.169
Length  130/10, alignment  9/ 0, found:	262.569
Length  130/10, alignment  9/ 0, fail:	204.203
Length  130/10, alignment  9/ 3, found:	274.971
Length  130/10, alignment  9/ 3, fail:	203.916
Length  130/10, alignment  9/ 9, found:	271.12
Length  130/10, alignment  9/ 9, fail:	203.901
Length  130/10, alignment  9/15, found:	278.594
Length  130/10, alignment  9/15, fail:	212.377
Length  130/10, alignment 15/ 0, found:	263.612
Length  130/10, alignment 15/ 0, fail:	214.197
Length  130/10, alignment 15/ 3, found:	275.192
Length  130/10, alignment 15/ 3, fail:	216.276
Length  130/10, alignment 15/ 9, found:	284.402
Length  130/10, alignment 15/ 9, fail:	208.021
Length  130/10, alignment 15/15, found:	267.313
Length  130/10, alignment 15/15, fail:	204.303
Length  140/10, alignment  0/ 0, found:	283.124
Length  140/10, alignment  0/ 0, fail:	203.835
Length  140/10, alignment  0/ 3, found:	283.6
Length  140/10, alignment  0/ 3, fail:	199.597
Length  140/10, alignment  0/ 9, found:	273.832
Length  140/10, alignment  0/ 9, fail:	210.418
Length  140/10, alignment  0/15, found:	273.183
Length  140/10, alignment  0/15, fail:	211.21
Length  140/10, alignment  3/ 0, found:	273.343
Length  140/10, alignment  3/ 0, fail:	201.237
Length  140/10, alignment  3/ 3, found:	280.404
Length  140/10, alignment  3/ 3, fail:	203.91
Length  140/10, alignment  3/ 9, found:	282.382
Length  140/10, alignment  3/ 9, fail:	203.458
Length  140/10, alignment  3/15, found:	273.514
Length  140/10, alignment  3/15, fail:	214.491
Length  140/10, alignment  9/ 0, found:	273.543
Length  140/10, alignment  9/ 0, fail:	210.441
Length  140/10, alignment  9/ 3, found:	273.342
Length  140/10, alignment  9/ 3, fail:	203.859
Length  140/10, alignment  9/ 9, found:	279.43
Length  140/10, alignment  9/ 9, fail:	203.867
Length  140/10, alignment  9/15, found:	281.014
Length  140/10, alignment  9/15, fail:	200.848
Length  140/10, alignment 15/ 0, found:	273.642
Length  140/10, alignment 15/ 0, fail:	210.064
Length  140/10, alignment 15/ 3, found:	273.419
Length  140/10, alignment 15/ 3, fail:	216.912
Length  140/10, alignment 15/ 9, found:	273.926
Length  140/10, alignment 15/ 9, fail:	203.502
Length  140/10, alignment 15/15, found:	279.843
Length  140/10, alignment 15/15, fail:	203.486
Length  150/10, alignment  0/ 0, found:	291.474
Length  150/10, alignment  0/ 0, fail:	203.202
Length  150/10, alignment  0/ 3, found:	281.324
Length  150/10, alignment  0/ 3, fail:	209.572
Length  150/10, alignment  0/ 9, found:	283.527
Length  150/10, alignment  0/ 9, fail:	209.592
Length  150/10, alignment  0/15, found:	283.518
Length  150/10, alignment  0/15, fail:	203.68
Length  150/10, alignment  3/ 0, found:	291.175
Length  150/10, alignment  3/ 0, fail:	203.405
Length  150/10, alignment  3/ 3, found:	290.475
Length  150/10, alignment  3/ 3, fail:	203.438
Length  150/10, alignment  3/ 9, found:	289.225
Length  150/10, alignment  3/ 9, fail:	205.565
Length  150/10, alignment  3/15, found:	290.919
Length  150/10, alignment  3/15, fail:	203.356
Length  150/10, alignment  9/ 0, found:	283.061
Length  150/10, alignment  9/ 0, fail:	209.232
Length  150/10, alignment  9/ 3, found:	283.571
Length  150/10, alignment  9/ 3, fail:	207.415
Length  150/10, alignment  9/ 9, found:	283.697
Length  150/10, alignment  9/ 9, fail:	203.182
Length  150/10, alignment  9/15, found:	289.08
Length  150/10, alignment  9/15, fail:	203.179
Length  150/10, alignment 15/ 0, found:	290.825
Length  150/10, alignment 15/ 0, fail:	203.289
Length  150/10, alignment 15/ 3, found:	283.38
Length  150/10, alignment 15/ 3, fail:	207.945
Length  150/10, alignment 15/ 9, found:	283.399
Length  150/10, alignment 15/ 9, fail:	211.168
Length  150/10, alignment 15/15, found:	283.665
Length  150/10, alignment 15/15, fail:	203.375
Length   22/11, alignment  0/ 0, found:	163.624
Length   22/11, alignment  0/ 0, fail:	208.419
Length   22/11, alignment  0/ 3, found:	154.686
Length   22/11, alignment  0/ 3, fail:	218.409
Length   22/11, alignment  0/ 9, found:	156.832
Length   22/11, alignment  0/ 9, fail:	227.762
Length   22/11, alignment  0/15, found:	166.015
Length   22/11, alignment  0/15, fail:	209.056
Length   22/11, alignment  3/ 0, found:	154.437
Length   22/11, alignment  3/ 0, fail:	219.867
Length   22/11, alignment  3/ 3, found:	154.767
Length   22/11, alignment  3/ 3, fail:	208.703
Length   22/11, alignment  3/ 9, found:	154.836
Length   22/11, alignment  3/ 9, fail:	215.492
Length   22/11, alignment  3/15, found:	154.98
Length   22/11, alignment  3/15, fail:	216.546
Length   22/11, alignment  9/ 0, found:	154.972
Length   22/11, alignment  9/ 0, fail:	208.688
Length   22/11, alignment  9/ 3, found:	155.139
Length   22/11, alignment  9/ 3, fail:	215.585
Length   22/11, alignment  9/ 9, found:	155.051
Length   22/11, alignment  9/ 9, fail:	208.896
Length   22/11, alignment  9/15, found:	163.447
Length   22/11, alignment  9/15, fail:	208.762
Length   22/11, alignment 15/ 0, found:	155.571
Length   22/11, alignment 15/ 0, fail:	216.579
Length   22/11, alignment 15/ 3, found:	154.837
Length   22/11, alignment 15/ 3, fail:	208.5
Length   22/11, alignment 15/ 9, found:	167.784
Length   22/11, alignment 15/ 9, fail:	208.896
Length   22/11, alignment 15/15, found:	157.417
Length   22/11, alignment 15/15, fail:	209.156
Length   33/11, alignment  0/ 0, found:	172.778
Length   33/11, alignment  0/ 0, fail:	209.105
Length   33/11, alignment  0/ 3, found:	176.484
Length   33/11, alignment  0/ 3, fail:	217.322
Length   33/11, alignment  0/ 9, found:	163.964
Length   33/11, alignment  0/ 9, fail:	209.675
Length   33/11, alignment  0/15, found:	173.08
Length   33/11, alignment  0/15, fail:	209.304
Length   33/11, alignment  3/ 0, found:	163.962
Length   33/11, alignment  3/ 0, fail:	218.806
Length   33/11, alignment  3/ 3, found:	164.77
Length   33/11, alignment  3/ 3, fail:	209.164
Length   33/11, alignment  3/ 9, found:	170.662
Length   33/11, alignment  3/ 9, fail:	209.193
Length   33/11, alignment  3/15, found:	164.048
Length   33/11, alignment  3/15, fail:	217.36
Length   33/11, alignment  9/ 0, found:	163.747
Length   33/11, alignment  9/ 0, fail:	209.505
Length   33/11, alignment  9/ 3, found:	163.484
Length   33/11, alignment  9/ 3, fail:	214.648
Length   33/11, alignment  9/ 9, found:	164.222
Length   33/11, alignment  9/ 9, fail:	216.825
Length   33/11, alignment  9/15, found:	163.68
Length   33/11, alignment  9/15, fail:	209.599
Length   33/11, alignment 15/ 0, found:	164.26
Length   33/11, alignment 15/ 0, fail:	216.37
Length   33/11, alignment 15/ 3, found:	164.559
Length   33/11, alignment 15/ 3, fail:	216.689
Length   33/11, alignment 15/ 9, found:	164.449
Length   33/11, alignment 15/ 9, fail:	209.156
Length   33/11, alignment 15/15, found:	163.844
Length   33/11, alignment 15/15, fail:	215.688
Length   44/11, alignment  0/ 0, found:	174.9
Length   44/11, alignment  0/ 0, fail:	218.246
Length   44/11, alignment  0/ 3, found:	174.98
Length   44/11, alignment  0/ 3, fail:	210.673
Length   44/11, alignment  0/ 9, found:	174.866
Length   44/11, alignment  0/ 9, fail:	217.192
Length   44/11, alignment  0/15, found:	174.73
Length   44/11, alignment  0/15, fail:	209.241
Length   44/11, alignment  3/ 0, found:	175.849
Length   44/11, alignment  3/ 0, fail:	210.387
Length   44/11, alignment  3/ 3, found:	175.509
Length   44/11, alignment  3/ 3, fail:	216.672
Length   44/11, alignment  3/ 9, found:	175.298
Length   44/11, alignment  3/ 9, fail:	209.678
Length   44/11, alignment  3/15, found:	182.441
Length   44/11, alignment  3/15, fail:	209.847
Length   44/11, alignment  9/ 0, found:	174.536
Length   44/11, alignment  9/ 0, fail:	216.355
Length   44/11, alignment  9/ 3, found:	175.709
Length   44/11, alignment  9/ 3, fail:	210.668
Length   44/11, alignment  9/ 9, found:	185.282
Length   44/11, alignment  9/ 9, fail:	210.634
Length   44/11, alignment  9/15, found:	175.629
Length   44/11, alignment  9/15, fail:	217.491
Length   44/11, alignment 15/ 0, found:	175.226
Length   44/11, alignment 15/ 0, fail:	210.562
Length   44/11, alignment 15/ 3, found:	184.824
Length   44/11, alignment 15/ 3, fail:	210.202
Length   44/11, alignment 15/ 9, found:	174.386
Length   44/11, alignment 15/ 9, fail:	217.014
Length   44/11, alignment 15/15, found:	174.897
Length   44/11, alignment 15/15, fail:	208.972
Length   55/11, alignment  0/ 0, found:	196.638
Length   55/11, alignment  0/ 0, fail:	209.053
Length   55/11, alignment  0/ 3, found:	187.066
Length   55/11, alignment  0/ 3, fail:	217.078
Length   55/11, alignment  0/ 9, found:	187.603
Length   55/11, alignment  0/ 9, fail:	209.312
Length   55/11, alignment  0/15, found:	194.97
Length   55/11, alignment  0/15, fail:	208.877
Length   55/11, alignment  3/ 0, found:	187.976
Length   55/11, alignment  3/ 0, fail:	215.339
Length   55/11, alignment  3/ 3, found:	188.019
Length   55/11, alignment  3/ 3, fail:	219.469
Length   55/11, alignment  3/ 9, found:	187.971
Length   55/11, alignment  3/ 9, fail:	209.445
Length   55/11, alignment  3/15, found:	189.521
Length   55/11, alignment  3/15, fail:	218.107
Length   55/11, alignment  9/ 0, found:	189.688
Length   55/11, alignment  9/ 0, fail:	221.038
Length   55/11, alignment  9/ 3, found:	189.131
Length   55/11, alignment  9/ 3, fail:	210.112
Length   55/11, alignment  9/ 9, found:	188.182
Length   55/11, alignment  9/ 9, fail:	216.281
Length   55/11, alignment  9/15, found:	189.582
Length   55/11, alignment  9/15, fail:	219.971
Length   55/11, alignment 15/ 0, found:	213.732
Length   55/11, alignment 15/ 0, fail:	209.646
Length   55/11, alignment 15/ 3, found:	186.871
Length   55/11, alignment 15/ 3, fail:	219.761
Length   55/11, alignment 15/ 9, found:	186.922
Length   55/11, alignment 15/ 9, fail:	222.138
Length   55/11, alignment 15/15, found:	187.786
Length   55/11, alignment 15/15, fail:	209.585
Length   66/11, alignment  0/ 0, found:	207.05
Length   66/11, alignment  0/ 0, fail:	209.945
Length   66/11, alignment  0/ 3, found:	201.985
Length   66/11, alignment  0/ 3, fail:	266.604
Length   66/11, alignment  0/ 9, found:	230.645
Length   66/11, alignment  0/ 9, fail:	210.845
Length   66/11, alignment  0/15, found:	207.639
Length   66/11, alignment  0/15, fail:	209.507
Length   66/11, alignment  3/ 0, found:	208.888
Length   66/11, alignment  3/ 0, fail:	209.521
Length   66/11, alignment  3/ 3, found:	197.311
Length   66/11, alignment  3/ 3, fail:	217.296
Length   66/11, alignment  3/ 9, found:	197.604
Length   66/11, alignment  3/ 9, fail:	211.197
Length   66/11, alignment  3/15, found:	204.886
Length   66/11, alignment  3/15, fail:	208.786
Length   66/11, alignment  9/ 0, found:	197.549
Length   66/11, alignment  9/ 0, fail:	214.552
Length   66/11, alignment  9/ 3, found:	197.42
Length   66/11, alignment  9/ 3, fail:	216.717
Length   66/11, alignment  9/ 9, found:	197.337
Length   66/11, alignment  9/ 9, fail:	208.493
Length   66/11, alignment  9/15, found:	197.553
Length   66/11, alignment  9/15, fail:	214.813
Length   66/11, alignment 15/ 0, found:	197.299
Length   66/11, alignment 15/ 0, fail:	216.36
Length   66/11, alignment 15/ 3, found:	197.461
Length   66/11, alignment 15/ 3, fail:	208.729
Length   66/11, alignment 15/ 9, found:	197.491
Length   66/11, alignment 15/ 9, fail:	217.073
Length   66/11, alignment 15/15, found:	197.405
Length   66/11, alignment 15/15, fail:	217.753
Length   77/11, alignment  0/ 0, found:	209.67
Length   77/11, alignment  0/ 0, fail:	211.065
Length   77/11, alignment  0/ 3, found:	215.272
Length   77/11, alignment  0/ 3, fail:	208.362
Length   77/11, alignment  0/ 9, found:	209.282
Length   77/11, alignment  0/ 9, fail:	216.731
Length   77/11, alignment  0/15, found:	209.257
Length   77/11, alignment  0/15, fail:	209.092
Length   77/11, alignment  3/ 0, found:	215.466
Length   77/11, alignment  3/ 0, fail:	208.927
Length   77/11, alignment  3/ 3, found:	216.322
Length   77/11, alignment  3/ 3, fail:	211.118
Length   77/11, alignment  3/ 9, found:	209.293
Length   77/11, alignment  3/ 9, fail:	209.338
Length   77/11, alignment  3/15, found:	215.353
Length   77/11, alignment  3/15, fail:	209.253
Length   77/11, alignment  9/ 0, found:	216.565
Length   77/11, alignment  9/ 0, fail:	209.442
Length   77/11, alignment  9/ 3, found:	209.605
Length   77/11, alignment  9/ 3, fail:	214.668
Length   77/11, alignment  9/ 9, found:	209.263
Length   77/11, alignment  9/ 9, fail:	217.633
Length   77/11, alignment  9/15, found:	209.175
Length   77/11, alignment  9/15, fail:	209.344
Length   77/11, alignment 15/ 0, found:	208.62
Length   77/11, alignment 15/ 0, fail:	215.994
Length   77/11, alignment 15/ 3, found:	209.412
Length   77/11, alignment 15/ 3, fail:	217.066
Length   77/11, alignment 15/ 9, found:	209.525
Length   77/11, alignment 15/ 9, fail:	209.205
Length   77/11, alignment 15/15, found:	216.981
Length   77/11, alignment 15/15, fail:	210.501
Length   88/11, alignment  0/ 0, found:	229.036
Length   88/11, alignment  0/ 0, fail:	209.933
Length   88/11, alignment  0/ 3, found:	220.797
Length   88/11, alignment  0/ 3, fail:	210.85
Length   88/11, alignment  0/ 9, found:	226.948
Length   88/11, alignment  0/ 9, fail:	208.833
Length   88/11, alignment  0/15, found:	227.704
Length   88/11, alignment  0/15, fail:	209.615
Length   88/11, alignment  3/ 0, found:	221.085
Length   88/11, alignment  3/ 0, fail:	216.604
Length   88/11, alignment  3/ 3, found:	220.883
Length   88/11, alignment  3/ 3, fail:	217.789
Length   88/11, alignment  3/ 9, found:	220.534
Length   88/11, alignment  3/ 9, fail:	211.068
Length   88/11, alignment  3/15, found:	220.974
Length   88/11, alignment  3/15, fail:	232.449
Length   88/11, alignment  9/ 0, found:	221.146
Length   88/11, alignment  9/ 0, fail:	223.109
Length   88/11, alignment  9/ 3, found:	221.238
Length   88/11, alignment  9/ 3, fail:	211.103
Length   88/11, alignment  9/ 9, found:	235.087
Length   88/11, alignment  9/ 9, fail:	218.87
Length   88/11, alignment  9/15, found:	253.195
Length   88/11, alignment  9/15, fail:	222.331
Length   88/11, alignment 15/ 0, found:	230.173
Length   88/11, alignment 15/ 0, fail:	233.118
Length   88/11, alignment 15/ 3, found:	220.965
Length   88/11, alignment 15/ 3, fail:	241.495
Length   88/11, alignment 15/ 9, found:	221.38
Length   88/11, alignment 15/ 9, fail:	208.492
Length   88/11, alignment 15/15, found:	229.458
Length   88/11, alignment 15/15, fail:	208.654
Length   99/11, alignment  0/ 0, found:	243.017
Length   99/11, alignment  0/ 0, fail:	208.771
Length   99/11, alignment  0/ 3, found:	233.015
Length   99/11, alignment  0/ 3, fail:	208.375
Length   99/11, alignment  0/ 9, found:	241.069
Length   99/11, alignment  0/ 9, fail:	208.446
Length   99/11, alignment  0/15, found:	241.393
Length   99/11, alignment  0/15, fail:	208.429
Length   99/11, alignment  3/ 0, found:	233.538
Length   99/11, alignment  3/ 0, fail:	214.836
Length   99/11, alignment  3/ 3, found:	233.029
Length   99/11, alignment  3/ 3, fail:	216.151
Length   99/11, alignment  3/ 9, found:	233.367
Length   99/11, alignment  3/ 9, fail:	208.598
Length   99/11, alignment  3/15, found:	239.902
Length   99/11, alignment  3/15, fail:	208.336
Length   99/11, alignment  9/ 0, found:	241.613
Length   99/11, alignment  9/ 0, fail:	208.604
Length   99/11, alignment  9/ 3, found:	232.596
Length   99/11, alignment  9/ 3, fail:	208.523
Length   99/11, alignment  9/ 9, found:	264.383
Length   99/11, alignment  9/ 9, fail:	208.164
Length   99/11, alignment  9/15, found:	242.502
Length   99/11, alignment  9/15, fail:	208.22
Length   99/11, alignment 15/ 0, found:	233.277
Length   99/11, alignment 15/ 0, fail:	216.154
Length   99/11, alignment 15/ 3, found:	233.066
Length   99/11, alignment 15/ 3, fail:	216.399
Length   99/11, alignment 15/ 9, found:	232.814
Length   99/11, alignment 15/ 9, fail:	208.374
Length   99/11, alignment 15/15, found:	241.608
Length   99/11, alignment 15/15, fail:	208.521
Length  110/11, alignment  0/ 0, found:	252.216
Length  110/11, alignment  0/ 0, fail:	208.557
Length  110/11, alignment  0/ 3, found:	243.846
Length  110/11, alignment  0/ 3, fail:	214.739
Length  110/11, alignment  0/ 9, found:	243.908
Length  110/11, alignment  0/ 9, fail:	215.9
Length  110/11, alignment  0/15, found:	243.893
Length  110/11, alignment  0/15, fail:	208.084
Length  110/11, alignment  3/ 0, found:	249.956
Length  110/11, alignment  3/ 0, fail:	209.202
Length  110/11, alignment  3/ 3, found:	252.089
Length  110/11, alignment  3/ 3, fail:	208.187
Length  110/11, alignment  3/ 9, found:	256.452
Length  110/11, alignment  3/ 9, fail:	208.777
Length  110/11, alignment  3/15, found:	254.079
Length  110/11, alignment  3/15, fail:	208.591
Length  110/11, alignment  9/ 0, found:	253.741
Length  110/11, alignment  9/ 0, fail:	210.538
Length  110/11, alignment  9/ 3, found:	244.166
Length  110/11, alignment  9/ 3, fail:	217.552
Length  110/11, alignment  9/ 9, found:	243.944
Length  110/11, alignment  9/ 9, fail:	216.221
Length  110/11, alignment  9/15, found:	238.343
Length  110/11, alignment  9/15, fail:	208.337
Length  110/11, alignment 15/ 0, found:	248.406
Length  110/11, alignment 15/ 0, fail:	208.466
Length  110/11, alignment 15/ 3, found:	250.644
Length  110/11, alignment 15/ 3, fail:	208.699
Length  110/11, alignment 15/ 9, found:	244.041
Length  110/11, alignment 15/ 9, fail:	215.463
Length  110/11, alignment 15/15, found:	243.988
Length  110/11, alignment 15/15, fail:	217.622
Length  121/11, alignment  0/ 0, found:	255.613
Length  121/11, alignment  0/ 0, fail:	208.423
Length  121/11, alignment  0/ 3, found:	262.676
Length  121/11, alignment  0/ 3, fail:	227.086
Length  121/11, alignment  0/ 9, found:	265.751
Length  121/11, alignment  0/ 9, fail:	208.845
Length  121/11, alignment  0/15, found:	254.987
Length  121/11, alignment  0/15, fail:	219.605
Length  121/11, alignment  3/ 0, found:	255.242
Length  121/11, alignment  3/ 0, fail:	217.263
Length  121/11, alignment  3/ 3, found:	255.396
Length  121/11, alignment  3/ 3, fail:	211.018
Length  121/11, alignment  3/ 9, found:	261.245
Length  121/11, alignment  3/ 9, fail:	209.457
Length  121/11, alignment  3/15, found:	262.295
Length  121/11, alignment  3/15, fail:	209.059
Length  121/11, alignment  9/ 0, found:	255.447
Length  121/11, alignment  9/ 0, fail:	215.296
Length  121/11, alignment  9/ 3, found:	255.131
Length  121/11, alignment  9/ 3, fail:	216.347
Length  121/11, alignment  9/ 9, found:	255.202
Length  121/11, alignment  9/ 9, fail:	208.271
Length  121/11, alignment  9/15, found:	261.163
Length  121/11, alignment  9/15, fail:	210.188
Length  121/11, alignment 15/ 0, found:	262.838
Length  121/11, alignment 15/ 0, fail:	224.229
Length  121/11, alignment 15/ 3, found:	256.181
Length  121/11, alignment 15/ 3, fail:	220.836
Length  121/11, alignment 15/ 9, found:	255.725
Length  121/11, alignment 15/ 9, fail:	218.844
Length  121/11, alignment 15/15, found:	255.532
Length  121/11, alignment 15/15, fail:	208.862
Length  132/11, alignment  0/ 0, found:	273.163
Length  132/11, alignment  0/ 0, fail:	209.422
Length  132/11, alignment  0/ 3, found:	274.592
Length  132/11, alignment  0/ 3, fail:	208.787
Length  132/11, alignment  0/ 9, found:	266.419
Length  132/11, alignment  0/ 9, fail:	216.467
Length  132/11, alignment  0/15, found:	266.425
Length  132/11, alignment  0/15, fail:	216.063
Length  132/11, alignment  3/ 0, found:	267.181
Length  132/11, alignment  3/ 0, fail:	208.827
Length  132/11, alignment  3/ 3, found:	273.279
Length  132/11, alignment  3/ 3, fail:	208.767
Length  132/11, alignment  3/ 9, found:	273.868
Length  132/11, alignment  3/ 9, fail:	208.759
Length  132/11, alignment  3/15, found:	267.582
Length  132/11, alignment  3/15, fail:	215.669
Length  132/11, alignment  9/ 0, found:	266.602
Length  132/11, alignment  9/ 0, fail:	216.376
Length  132/11, alignment  9/ 3, found:	266.65
Length  132/11, alignment  9/ 3, fail:	208.672
Length  132/11, alignment  9/ 9, found:	269.792
Length  132/11, alignment  9/ 9, fail:	208.729
Length  132/11, alignment  9/15, found:	273.612
Length  132/11, alignment  9/15, fail:	209.48
Length  132/11, alignment 15/ 0, found:	267.665
Length  132/11, alignment 15/ 0, fail:	215.19
Length  132/11, alignment 15/ 3, found:	265.926
Length  132/11, alignment 15/ 3, fail:	217.74
Length  132/11, alignment 15/ 9, found:	266.614
Length  132/11, alignment 15/ 9, fail:	209.641
Length  132/11, alignment 15/15, found:	274.791
Length  132/11, alignment 15/15, fail:	209.826
Length  143/11, alignment  0/ 0, found:	288.788
Length  143/11, alignment  0/ 0, fail:	210.145
Length  143/11, alignment  0/ 3, found:	280.807
Length  143/11, alignment  0/ 3, fail:	216.06
Length  143/11, alignment  0/ 9, found:	279.05
Length  143/11, alignment  0/ 9, fail:	217.289
Length  143/11, alignment  0/15, found:	280.196
Length  143/11, alignment  0/15, fail:	208.309
Length  143/11, alignment  3/ 0, found:	276.775
Length  143/11, alignment  3/ 0, fail:	208.375
Length  143/11, alignment  3/ 3, found:	285.744
Length  143/11, alignment  3/ 3, fail:	223.497
Length  143/11, alignment  3/ 9, found:	288.473
Length  143/11, alignment  3/ 9, fail:	208.433
Length  143/11, alignment  3/15, found:	288.782
Length  143/11, alignment  3/15, fail:	208.442
Length  143/11, alignment  9/ 0, found:	279.514
Length  143/11, alignment  9/ 0, fail:	214.835
Length  143/11, alignment  9/ 3, found:	278.812
Length  143/11, alignment  9/ 3, fail:	215.949
Length  143/11, alignment  9/ 9, found:	278.228
Length  143/11, alignment  9/ 9, fail:	208.148
Length  143/11, alignment  9/15, found:	320.335
Length  143/11, alignment  9/15, fail:	217.586
Length  143/11, alignment 15/ 0, found:	320.255
Length  143/11, alignment 15/ 0, fail:	219.324
Length  143/11, alignment 15/ 3, found:	289.916
Length  143/11, alignment 15/ 3, fail:	208.86
Length  143/11, alignment 15/ 9, found:	288.888
Length  143/11, alignment 15/ 9, fail:	209.216
Length  143/11, alignment 15/15, found:	278.658
Length  143/11, alignment 15/15, fail:	217.102
Length  154/11, alignment  0/ 0, found:	288.423
