                       	__stpcpy_chk	normal_stpcpy
Length    4, alignment  0/ 4:	78.468	11.1376
Length    4, alignment  4/ 0:	76.5126	10.9786
Length    5, alignment  0/ 0:	76.4785	13.4327
Length    5, alignment  0/ 0:	77.1641	13.3032
Length    5, alignment  0/ 5:	66.5657	12.2312
Length    5, alignment  5/ 0:	68.7342	12.1727
Length    6, alignment  0/ 0:	86.0751	16.6431
Length    6, alignment  0/ 0:	76.8781	16.0194
Length    6, alignment  0/ 6:	67.6564	11.4681
Length    6, alignment  6/ 0:	68.6853	17.7578
Length    7, alignment  0/ 0:	81.2821	14.9778
Length    7, alignment  0/ 0:	77.0655	15.2275
Length    7, alignment  0/ 7:	66.7501	12.857
Length    7, alignment  7/ 0:	66.7894	12.7404
Length    8, alignment  0/ 0:	76.8196	17.3178
Length    8, alignment  0/ 0:	76.9044	17.3293
Length    8, alignment  0/ 0:	77.7773	17.4275
Length    8, alignment  0/ 0:	77.3326	17.3304
Length    9, alignment  0/ 0:	80.622	20.5729
Length    9, alignment  0/ 0:	84.132	19.2797
Length    9, alignment  0/ 1:	68.4808	18.7778
Length    9, alignment  1/ 0:	68.684	19.2866
Length   10, alignment  0/ 0:	78.3109	20.4813
Length   10, alignment  0/ 0:	78.4878	20.6732
Length   10, alignment  0/ 2:	70.0331	19.4034
Length   10, alignment  2/ 0:	69.5594	20.0011
Length   11, alignment  0/ 0:	79.7064	22.4253
Length   11, alignment  0/ 0:	80.7258	22.5118
Length   11, alignment  0/ 3:	69.9599	20.2994
Length   11, alignment  3/ 0:	71.9117	21.2254
Length   12, alignment  0/ 0:	85.5932	24.5303
Length   12, alignment  0/ 0:	83.0301	24.2845
Length   12, alignment  0/ 4:	79.4176	21.6166
Length   12, alignment  4/ 0:	78.6628	22.5862
Length   13, alignment  0/ 0:	80.2566	24.2701
Length   13, alignment  0/ 0:	80.2563	24.5027
Length   13, alignment  0/ 5:	72.9718	22.2553
Length   13, alignment  5/ 0:	71.8469	23.5112
Length   14, alignment  0/ 0:	81.1503	25.6525
Length   14, alignment  0/ 0:	80.9972	25.7542
Length   14, alignment  0/ 6:	74.7101	22.8202
Length   14, alignment  6/ 0:	72.4147	25.3208
Length   15, alignment  0/ 0:	90.4882	25.1059
Length   15, alignment  0/ 0:	81.8604	25.0379
Length   15, alignment  0/ 7:	72.3941	23.0469
Length   15, alignment  7/ 0:	73.0736	23.4521
Length   16, alignment  0/ 0:	81.4541	28.3411
