                       	strsep
Length   12/3, alignment  0/ 0, found:	83.0259
Length   12/3, alignment  0/ 0, fail:	84.3264
Length   12/3, alignment  0/ 3, found:	81.5034
Length   12/3, alignment  0/ 3, fail:	83.8467
Length   12/3, alignment  0/ 9, found:	85.855
Length   12/3, alignment  0/ 9, fail:	80.1782
Length   12/3, alignment  0/15, found:	83.4478
Length   12/3, alignment  0/15, fail:	79.3799
Length   12/3, alignment  3/ 0, found:	82.4485
Length   12/3, alignment  3/ 0, fail:	78.6924
Length   12/3, alignment  3/ 3, found:	82.1165
Length   12/3, alignment  3/ 3, fail:	82.7629
Length   12/3, alignment  3/ 9, found:	80.8318
Length   12/3, alignment  3/ 9, fail:	79.6855
Length   12/3, alignment  3/15, found:	82.4226
Length   12/3, alignment  3/15, fail:	81.6042
Length   12/3, alignment  9/ 0, found:	80.5146
Length   12/3, alignment  9/ 0, fail:	100.069
Length   12/3, alignment  9/ 3, found:	84.7432
Length   12/3, alignment  9/ 3, fail:	78.6057
Length   12/3, alignment  9/ 9, found:	82.3423
Length   12/3, alignment  9/ 9, fail:	79.4395
Length   12/3, alignment  9/15, found:	82.4006
Length   12/3, alignment  9/15, fail:	84.3831
Length   12/3, alignment 15/ 0, found:	84.9739
Length   12/3, alignment 15/ 0, fail:	81.3333
Length   12/3, alignment 15/ 3, found:	82.1533
Length   12/3, alignment 15/ 3, fail:	79.0349
Length   12/3, alignment 15/ 9, found:	84.1863
Length   12/3, alignment 15/ 9, fail:	81.6731
Length   12/3, alignment 15/15, found:	82.1445
Length   12/3, alignment 15/15, fail:	81.3008
Length   15/3, alignment  0/ 0, found:	80.3499
Length   15/3, alignment  0/ 0, fail:	85.8545
Length   15/3, alignment  0/ 3, found:	80.1809
Length   15/3, alignment  0/ 3, fail:	85.5042
Length   15/3, alignment  0/ 9, found:	82.9199
Length   15/3, alignment  0/ 9, fail:	83.6865
Length   15/3, alignment  0/15, found:	82.3955
Length   15/3, alignment  0/15, fail:	83.6589
Length   15/3, alignment  3/ 0, found:	82.2729
Length   15/3, alignment  3/ 0, fail:	83.5667
Length   15/3, alignment  3/ 3, found:	82.5312
Length   15/3, alignment  3/ 3, fail:	86.2341
Length   15/3, alignment  3/ 9, found:	80.3149
Length   15/3, alignment  3/ 9, fail:	85.3406
Length   15/3, alignment  3/15, found:	80.2463
Length   15/3, alignment  3/15, fail:	91.5994
Length   15/3, alignment  9/ 0, found:	80.1982
Length   15/3, alignment  9/ 0, fail:	85.9712
Length   15/3, alignment  9/ 3, found:	83.0461
Length   15/3, alignment  9/ 3, fail:	83.5574
Length   15/3, alignment  9/ 9, found:	81.9783
Length   15/3, alignment  9/ 9, fail:	83.5747
Length   15/3, alignment  9/15, found:	82.3091
Length   15/3, alignment  9/15, fail:	83.5278
Length   15/3, alignment 15/ 0, found:	89.4983
Length   15/3, alignment 15/ 0, fail:	86.1897
