                       	strsep
Length   54/9, alignment  3/ 9, found:	102.134
Length   54/9, alignment  3/ 9, fail:	134.467
Length   54/9, alignment  3/15, found:	104.298
Length   54/9, alignment  3/15, fail:	136.336
Length   54/9, alignment  9/ 0, found:	104.889
Length   54/9, alignment  9/ 0, fail:	131.771
Length   54/9, alignment  9/ 3, found:	104.431
Length   54/9, alignment  9/ 3, fail:	134.904
Length   54/9, alignment  9/ 9, found:	103.918
Length   54/9, alignment  9/ 9, fail:	133.752
Length   54/9, alignment  9/15, found:	102.141
Length   54/9, alignment  9/15, fail:	138.18
Length   54/9, alignment 15/ 0, found:	104.14
Length   54/9, alignment 15/ 0, fail:	135.638
Length   54/9, alignment 15/ 3, found:	104.858
Length   54/9, alignment 15/ 3, fail:	138.073
Length   54/9, alignment 15/ 9, found:	103.823
Length   54/9, alignment 15/ 9, fail:	140.411
Length   54/9, alignment 15/15, found:	103.707
Length   54/9, alignment 15/15, fail:	134.449
Length   63/9, alignment  0/ 0, found:	107.043
Length   63/9, alignment  0/ 0, fail:	146.064
Length   63/9, alignment  0/ 3, found:	106.435
Length   63/9, alignment  0/ 3, fail:	142.705
Length   63/9, alignment  0/ 9, found:	108.797
Length   63/9, alignment  0/ 9, fail:	143.34
Length   63/9, alignment  0/15, found:	109.058
Length   63/9, alignment  0/15, fail:	141.249
Length   63/9, alignment  3/ 0, found:	109.358
Length   63/9, alignment  3/ 0, fail:	143.686
Length   63/9, alignment  3/ 3, found:	108.485
Length   63/9, alignment  3/ 3, fail:	143.954
Length   63/9, alignment  3/ 9, found:	108.113
Length   63/9, alignment  3/ 9, fail:	143.453
Length   63/9, alignment  3/15, found:	106.893
Length   63/9, alignment  3/15, fail:	143.783
Length   63/9, alignment  9/ 0, found:	108.855
Length   63/9, alignment  9/ 0, fail:	143.533
Length   63/9, alignment  9/ 3, found:	108.906
Length   63/9, alignment  9/ 3, fail:	144.007
Length   63/9, alignment  9/ 9, found:	108.955
Length   63/9, alignment  9/ 9, fail:	154.041
Length   63/9, alignment  9/15, found:	109.034
Length   63/9, alignment  9/15, fail:	144.483
Length   63/9, alignment 15/ 0, found:	108.867
Length   63/9, alignment 15/ 0, fail:	144.043
Length   63/9, alignment 15/ 3, found:	109.002
Length   63/9, alignment 15/ 3, fail:	143.396
Length   63/9, alignment 15/ 9, found:	106.998
Length   63/9, alignment 15/ 9, fail:	143.174
Length   63/9, alignment 15/15, found:	109.048
Length   63/9, alignment 15/15, fail:	143.229
Length   40/10, alignment  0/ 0, found:	102.088
Length   40/10, alignment  0/ 0, fail:	116.579
Length   40/10, alignment  0/ 3, found:	100.708
Length   40/10, alignment  0/ 3, fail:	118.428
Length   40/10, alignment  0/ 9, found:	100.328
Length   40/10, alignment  0/ 9, fail:	118.537
Length   40/10, alignment  0/15, found:	98.8203
Length   40/10, alignment  0/15, fail:	118.199
Length   40/10, alignment  3/ 0, found:	101.423
Length   40/10, alignment  3/ 0, fail:	116.716
Length   40/10, alignment  3/ 3, found:	102.832
Length   40/10, alignment  3/ 3, fail:	118.484
Length   40/10, alignment  3/ 9, found:	98.603
Length   40/10, alignment  3/ 9, fail:	118.274
Length   40/10, alignment  3/15, found:	103.213
Length   40/10, alignment  3/15, fail:	118.139
Length   40/10, alignment  9/ 0, found:	97.5508
Length   40/10, alignment  9/ 0, fail:	121.045
Length   40/10, alignment  9/ 3, found:	96.9028
Length   40/10, alignment  9/ 3, fail:	119.246
Length   40/10, alignment  9/ 9, found:	94.218
Length   40/10, alignment  9/ 9, fail:	118.288
Length   40/10, alignment  9/15, found:	97.5752
Length   40/10, alignment  9/15, fail:	118.612
Length   40/10, alignment 15/ 0, found:	94.4336
Length   40/10, alignment 15/ 0, fail:	118.631
Length   40/10, alignment 15/ 3, found:	96.5881
Length   40/10, alignment 15/ 3, fail:	119.135
Length   40/10, alignment 15/ 9, found:	93.8804
Length   40/10, alignment 15/ 9, fail:	118.756
Length   40/10, alignment 15/15, found:	96.2073
Length   40/10, alignment 15/15, fail:	116.567
Length   50/10, alignment  0/ 0, found:	103.498
Length   50/10, alignment  0/ 0, fail:	129.609
Length   50/10, alignment  0/ 3, found:	103.323
Length   50/10, alignment  0/ 3, fail:	129.948
Length   50/10, alignment  0/ 9, found:	101.589
Length   50/10, alignment  0/ 9, fail:	130.022
Length   50/10, alignment  0/15, found:	103.6
Length   50/10, alignment  0/15, fail:	129.389
Length   50/10, alignment  3/ 0, found:	101.613
Length   50/10, alignment  3/ 0, fail:	130.378
Length   50/10, alignment  3/ 3, found:	103.186
Length   50/10, alignment  3/ 3, fail:	130.659
Length   50/10, alignment  3/ 9, found:	101.59
Length   50/10, alignment  3/ 9, fail:	129.841
Length   50/10, alignment  3/15, found:	103.591
Length   50/10, alignment  3/15, fail:	129.486
Length   50/10, alignment  9/ 0, found:	104.507
Length   50/10, alignment  9/ 0, fail:	127.928
Length   50/10, alignment  9/ 3, found:	104.249
Length   50/10, alignment  9/ 3, fail:	129.792
Length   50/10, alignment  9/ 9, found:	103.297
Length   50/10, alignment  9/ 9, fail:	129.666
Length   50/10, alignment  9/15, found:	101.597
Length   50/10, alignment  9/15, fail:	129.52
Length   50/10, alignment 15/ 0, found:	103.522
Length   50/10, alignment 15/ 0, fail:	130.078
Length   50/10, alignment 15/ 3, found:	103.51
Length   50/10, alignment 15/ 3, fail:	128.05
Length   50/10, alignment 15/ 9, found:	103.152
Length   50/10, alignment 15/ 9, fail:	129.769
Length   50/10, alignment 15/15, found:	101.601
Length   50/10, alignment 15/15, fail:	131.183
Length   60/10, alignment  0/ 0, found:	107.143
Length   60/10, alignment  0/ 0, fail:	140.187
Length   60/10, alignment  0/ 3, found:	109.156
Length   60/10, alignment  0/ 3, fail:	139.553
Length   60/10, alignment  0/ 9, found:	109.059
Length   60/10, alignment  0/ 9, fail:	138.016
Length   60/10, alignment  0/15, found:	108.754
Length   60/10, alignment  0/15, fail:	139.797
Length   60/10, alignment  3/ 0, found:	109.211
Length   60/10, alignment  3/ 0, fail:	139.798
Length   60/10, alignment  3/ 3, found:	107.193
Length   60/10, alignment  3/ 3, fail:	141.787
Length   60/10, alignment  3/ 9, found:	107.227
Length   60/10, alignment  3/ 9, fail:	139.79
Length   60/10, alignment  3/15, found:	109.049
Length   60/10, alignment  3/15, fail:	139.81
Length   60/10, alignment  9/ 0, found:	109.175
Length   60/10, alignment  9/ 0, fail:	137.958
Length   60/10, alignment  9/ 3, found:	108.901
Length   60/10, alignment  9/ 3, fail:	140.005
Length   60/10, alignment  9/ 9, found:	108.857
Length   60/10, alignment  9/ 9, fail:	139.954
Length   60/10, alignment  9/15, found:	107.193
Length   60/10, alignment  9/15, fail:	141.97
Length   60/10, alignment 15/ 0, found:	107.137
Length   60/10, alignment 15/ 0, fail:	145.342
Length   60/10, alignment 15/ 3, found:	109.426
Length   60/10, alignment 15/ 3, fail:	140.231
Length   60/10, alignment 15/ 9, found:	109.896
Length   60/10, alignment 15/ 9, fail:	137.776
Length   60/10, alignment 15/15, found:	109.333
Length   60/10, alignment 15/15, fail:	140.044
Length   70/10, alignment  0/ 0, found:	115.176
Length   70/10, alignment  0/ 0, fail:	152.235
Length   70/10, alignment  0/ 3, found:	115.522
Length   70/10, alignment  0/ 3, fail:	151.977
Length   70/10, alignment  0/ 9, found:	113.648
Length   70/10, alignment  0/ 9, fail:	153.802
Length   70/10, alignment  0/15, found:	113.626
Length   70/10, alignment  0/15, fail:	151.374
Length   70/10, alignment  3/ 0, found:	113.666
Length   70/10, alignment  3/ 0, fail:	151.966
Length   70/10, alignment  3/ 3, found:	115.881
Length   70/10, alignment  3/ 3, fail:	151.99
Length   70/10, alignment  3/ 9, found:	115.578
Length   70/10, alignment  3/ 9, fail:	151.537
Length   70/10, alignment  3/15, found:	115.294
Length   70/10, alignment  3/15, fail:	149.865
Length   70/10, alignment  9/ 0, found:	115.225
Length   70/10, alignment  9/ 0, fail:	151.972
Length   70/10, alignment  9/ 3, found:	116.035
Length   70/10, alignment  9/ 3, fail:	152.4
Length   70/10, alignment  9/ 9, found:	115.438
Length   70/10, alignment  9/ 9, fail:	151.681
Length   70/10, alignment  9/15, found:	115.246
Length   70/10, alignment  9/15, fail:	151.954
Length   70/10, alignment 15/ 0, found:	113.465
Length   70/10, alignment 15/ 0, fail:	153.676
Length   70/10, alignment 15/ 3, found:	113.712
Length   70/10, alignment 15/ 3, fail:	151.518
Length   70/10, alignment 15/ 9, found:	116.208
Length   70/10, alignment 15/ 9, fail:	151.494
Length   70/10, alignment 15/15, found:	116.231
Length   70/10, alignment 15/15, fail:	152.011
Length   44/11, alignment  0/ 0, found:	105.118
Length   44/11, alignment  0/ 0, fail:	122.14
Length   44/11, alignment  0/ 3, found:	105.391
Length   44/11, alignment  0/ 3, fail:	124.115
Length   44/11, alignment  0/ 9, found:	105.377
Length   44/11, alignment  0/ 9, fail:	123.818
Length   44/11, alignment  0/15, found:	103.073
Length   44/11, alignment  0/15, fail:	123.675
Length   44/11, alignment  3/ 0, found:	101.715
Length   44/11, alignment  3/ 0, fail:	122.286
Length   44/11, alignment  3/ 3, found:	101.406
Length   44/11, alignment  3/ 3, fail:	124.007
Length   44/11, alignment  3/ 9, found:	102.53
Length   44/11, alignment  3/ 9, fail:	125.277
Length   44/11, alignment  3/15, found:	99.7593
Length   44/11, alignment  3/15, fail:	124.09
Length   44/11, alignment  9/ 0, found:	101.623
Length   44/11, alignment  9/ 0, fail:	123.825
Length   44/11, alignment  9/ 3, found:	99.7637
Length   44/11, alignment  9/ 3, fail:	124.109
Length   44/11, alignment  9/ 9, found:	101.527
Length   44/11, alignment  9/ 9, fail:	124.608
Length   44/11, alignment  9/15, found:	99.7803
Length   44/11, alignment  9/15, fail:	123.927
Length   44/11, alignment 15/ 0, found:	101.705
Length   44/11, alignment 15/ 0, fail:	123.786
Length   44/11, alignment 15/ 3, found:	99.595
Length   44/11, alignment 15/ 3, fail:	124.161
Length   44/11, alignment 15/ 9, found:	101.845
Length   44/11, alignment 15/ 9, fail:	124.012
Length   44/11, alignment 15/15, found:	99.6914
Length   44/11, alignment 15/15, fail:	123.36
Length   55/11, alignment  0/ 0, found:	109.71
Length   55/11, alignment  0/ 0, fail:	137.844
Length   55/11, alignment  0/ 3, found:	110.333
Length   55/11, alignment  0/ 3, fail:	135.613
Length   55/11, alignment  0/ 9, found:	107.468
Length   55/11, alignment  0/ 9, fail:	137.483
Length   55/11, alignment  0/15, found:	109.137
Length   55/11, alignment  0/15, fail:	138.149
Length   55/11, alignment  3/ 0, found:	106.481
Length   55/11, alignment  3/ 0, fail:	139.476
Length   55/11, alignment  3/ 3, found:	106.069
Length   55/11, alignment  3/ 3, fail:	137.149
Length   55/11, alignment  3/ 9, found:	108.179
Length   55/11, alignment  3/ 9, fail:	137.218
Length   55/11, alignment  3/15, found:	108.527
Length   55/11, alignment  3/15, fail:	135.362
Length   55/11, alignment  9/ 0, found:	107.94
Length   55/11, alignment  9/ 0, fail:	137.427
Length   55/11, alignment  9/ 3, found:	107.187
Length   55/11, alignment  9/ 3, fail:	137.373
Length   55/11, alignment  9/ 9, found:	106.157
Length   55/11, alignment  9/ 9, fail:	137.169
Length   55/11, alignment  9/15, found:	108.37
Length   55/11, alignment  9/15, fail:	137.687
Length   55/11, alignment 15/ 0, found:	109.048
Length   55/11, alignment 15/ 0, fail:	138.548
Length   55/11, alignment 15/ 3, found:	107.842
Length   55/11, alignment 15/ 3, fail:	135.652
Length   55/11, alignment 15/ 9, found:	108.463
Length   55/11, alignment 15/ 9, fail:	137.504
Length   55/11, alignment 15/15, found:	107.765
Length   55/11, alignment 15/15, fail:	137.473
Length   66/11, alignment  0/ 0, found:	112.243
Length   66/11, alignment  0/ 0, fail:	147.951
Length   66/11, alignment  0/ 3, found:	113.991
Length   66/11, alignment  0/ 3, fail:	148.464
Length   66/11, alignment  0/ 9, found:	113.976
Length   66/11, alignment  0/ 9, fail:	148.253
Length   66/11, alignment  0/15, found:	114.4
Length   66/11, alignment  0/15, fail:	147.835
Length   66/11, alignment  3/ 0, found:	113.863
Length   66/11, alignment  3/ 0, fail:	146.254
Length   66/11, alignment  3/ 3, found:	114.132
Length   66/11, alignment  3/ 3, fail:	148.017
Length   66/11, alignment  3/ 9, found:	113.603
Length   66/11, alignment  3/ 9, fail:	148.423
Length   66/11, alignment  3/15, found:	113.576
Length   66/11, alignment  3/15, fail:	148.148
Length   66/11, alignment  9/ 0, found:	112.057
Length   66/11, alignment  9/ 0, fail:	150.651
Length   66/11, alignment  9/ 3, found:	112.123
Length   66/11, alignment  9/ 3, fail:	147.88
Length   66/11, alignment  9/ 9, found:	113.885
Length   66/11, alignment  9/ 9, fail:	148.508
Length   66/11, alignment  9/15, found:	113.918
Length   66/11, alignment  9/15, fail:	148.471
Length   66/11, alignment 15/ 0, found:	113.921
Length   66/11, alignment 15/ 0, fail:	146.558
Length   66/11, alignment 15/ 3, found:	113.783
Length   66/11, alignment 15/ 3, fail:	148.487
Length   66/11, alignment 15/ 9, found:	113.872
Length   66/11, alignment 15/ 9, fail:	148.817
Length   66/11, alignment 15/15, found:	114.007
Length   66/11, alignment 15/15, fail:	148.765
Length   77/11, alignment  0/ 0, found:	117.776
Length   77/11, alignment  0/ 0, fail:	163.622
Length   77/11, alignment  0/ 3, found:	117.485
Length   77/11, alignment  0/ 3, fail:	162.555
Length   77/11, alignment  0/ 9, found:	117.781
Length   77/11, alignment  0/ 9, fail:	162.946
Length   77/11, alignment  0/15, found:	117.836
Length   77/11, alignment  0/15, fail:	160.834
Length   77/11, alignment  3/ 0, found:	119.424
Length   77/11, alignment  3/ 0, fail:	160.653
Length   77/11, alignment  3/ 3, found:	120.177
Length   77/11, alignment  3/ 3, fail:	161.443
Length   77/11, alignment  3/ 9, found:	120.097
Length   77/11, alignment  3/ 9, fail:	160.724
Length   77/11, alignment  3/15, found:	119.396
Length   77/11, alignment  3/15, fail:	167.804
Length   77/11, alignment  9/ 0, found:	119.983
Length   77/11, alignment  9/ 0, fail:	161.268
Length   77/11, alignment  9/ 3, found:	119.378
Length   77/11, alignment  9/ 3, fail:	161.045
Length   77/11, alignment  9/ 9, found:	119.685
Length   77/11, alignment  9/ 9, fail:	159.23
Length   77/11, alignment  9/15, found:	119.392
Length   77/11, alignment  9/15, fail:	161.112
Length   77/11, alignment 15/ 0, found:	119.512
Length   77/11, alignment 15/ 0, fail:	161.108
Length   77/11, alignment 15/ 3, found:	119.478
Length   77/11, alignment 15/ 3, fail:	161.452
Length   77/11, alignment 15/ 9, found:	120.184
Length   77/11, alignment 15/ 9, fail:	160.947
Length   77/11, alignment 15/15, found:	119.928
Length   77/11, alignment 15/15, fail:	161.035
Length   48/12, alignment  0/ 0, found:	104.839
Length   48/12, alignment  0/ 0, fail:	136.354
Length   48/12, alignment  0/ 3, found:	102.17
Length   48/12, alignment  0/ 3, fail:	130.404
Length   48/12, alignment  0/ 9, found:	105.299
Length   48/12, alignment  0/ 9, fail:	129.992
Length   48/12, alignment  0/15, found:	105.214
Length   48/12, alignment  0/15, fail:	127.312
Length   48/12, alignment  3/ 0, found:	105.552
Length   48/12, alignment  3/ 0, fail:	129.37
Length   48/12, alignment  3/ 3, found:	102.169
Length   48/12, alignment  3/ 3, fail:	132.178
Length   48/12, alignment  3/ 9, found:	102.125
Length   48/12, alignment  3/ 9, fail:	130.143
Length   48/12, alignment  3/15, found:	104.795
Length   48/12, alignment  3/15, fail:	127.339
Length   48/12, alignment  9/ 0, found:	105.275
Length   48/12, alignment  9/ 0, fail:	129.599
Length   48/12, alignment  9/ 3, found:	105.651
Length   48/12, alignment  9/ 3, fail:	130.396
Length   48/12, alignment  9/ 9, found:	102.684
Length   48/12, alignment  9/ 9, fail:	129.878
Length   48/12, alignment  9/15, found:	104.27
Length   48/12, alignment  9/15, fail:	130.037
Length   48/12, alignment 15/ 0, found:	104.887
Length   48/12, alignment 15/ 0, fail:	127.196
Length   48/12, alignment 15/ 3, found:	105.663
Length   48/12, alignment 15/ 3, fail:	129.571
Length   48/12, alignment 15/ 9, found:	105.882
Length   48/12, alignment 15/ 9, fail:	129.424
Length   48/12, alignment 15/15, found:	102.77
Length   48/12, alignment 15/15, fail:	129.741
Length   60/12, alignment  0/ 0, found:	112.728
Length   60/12, alignment  0/ 0, fail:	142.51
Length   60/12, alignment  0/ 3, found:	112.698
Length   60/12, alignment  0/ 3, fail:	142.696
Length   60/12, alignment  0/ 9, found:	110.356
Length   60/12, alignment  0/ 9, fail:	140.238
Length   60/12, alignment  0/15, found:	113.288
Length   60/12, alignment  0/15, fail:	142.467
Length   60/12, alignment  3/ 0, found:	113.174
Length   60/12, alignment  3/ 0, fail:	142.612
Length   60/12, alignment  3/ 3, found:	110.324
Length   60/12, alignment  3/ 3, fail:	145.372
Length   60/12, alignment  3/ 9, found:	110.612
Length   60/12, alignment  3/ 9, fail:	143.049
Length   60/12, alignment  3/15, found:	112.915
Length   60/12, alignment  3/15, fail:	141.667
Length   60/12, alignment  9/ 0, found:	112.598
Length   60/12, alignment  9/ 0, fail:	142.634
Length   60/12, alignment  9/ 3, found:	110.595
Length   60/12, alignment  9/ 3, fail:	140.885
Length   60/12, alignment  9/ 9, found:	112.134
Length   60/12, alignment  9/ 9, fail:	142.884
Length   60/12, alignment  9/15, found:	112.402
Length   60/12, alignment  9/15, fail:	142.409
Length   60/12, alignment 15/ 0, found:	110.662
Length   60/12, alignment 15/ 0, fail:	144.432
Length   60/12, alignment 15/ 3, found:	110.639
Length   60/12, alignment 15/ 3, fail:	141.259
Length   60/12, alignment 15/ 9, found:	112.758
Length   60/12, alignment 15/ 9, fail:	142.219
Length   60/12, alignment 15/15, found:	112.354
Length   60/12, alignment 15/15, fail:	140.234
Length   72/12, alignment  0/ 0, found:	118.234
Length   72/12, alignment  0/ 0, fail:	156.739
Length   72/12, alignment  0/ 3, found:	118.365
Length   72/12, alignment  0/ 3, fail:	156.28
Length   72/12, alignment  0/ 9, found:	118.799
Length   72/12, alignment  0/ 9, fail:	156.127
Length   72/12, alignment  0/15, found:	118.228
Length   72/12, alignment  0/15, fail:	155.849
Length   72/12, alignment  3/ 0, found:	118.469
Length   72/12, alignment  3/ 0, fail:	155.906
Length   72/12, alignment  3/ 3, found:	116.792
Length   72/12, alignment  3/ 3, fail:	158.49
Length   72/12, alignment  3/ 9, found:	116.502
Length   72/12, alignment  3/ 9, fail:	157.609
Length   72/12, alignment  3/15, found:	116.542
Length   72/12, alignment  3/15, fail:	156.455
Length   72/12, alignment  9/ 0, found:	118.616
Length   72/12, alignment  9/ 0, fail:	156.293
Length   72/12, alignment  9/ 3, found:	119.305
Length   72/12, alignment  9/ 3, fail:	155.602
Length   72/12, alignment  9/ 9, found:	118.457
Length   72/12, alignment  9/ 9, fail:	156.184
Length   72/12, alignment  9/15, found:	118.393
Length   72/12, alignment  9/15, fail:	156.238
Length   72/12, alignment 15/ 0, found:	118.679
Length   72/12, alignment 15/ 0, fail:	153.693
Length   72/12, alignment 15/ 3, found:	118.247
Length   72/12, alignment 15/ 3, fail:	156.003
Length   72/12, alignment 15/ 9, found:	118.339
Length   72/12, alignment 15/ 9, fail:	156.648
Length   72/12, alignment 15/15, found:	118.846
Length   72/12, alignment 15/15, fail:	156.252
Length   84/12, alignment  0/ 0, found:	124.938
Length   84/12, alignment  0/ 0, fail:	169.47
Length   84/12, alignment  0/ 3, found:	124.839
Length   84/12, alignment  0/ 3, fail:	169.404
Length   84/12, alignment  0/ 9, found:	125.167
Length   84/12, alignment  0/ 9, fail:	169.438
Length   84/12, alignment  0/15, found:	124.577
Length   84/12, alignment  0/15, fail:	169.568
Length   84/12, alignment  3/ 0, found:	124.787
Length   84/12, alignment  3/ 0, fail:	169.587
Length   84/12, alignment  3/ 3, found:	125.162
Length   84/12, alignment  3/ 3, fail:	169.46
Length   84/12, alignment  3/ 9, found:	124.587
Length   84/12, alignment  3/ 9, fail:	169.86
Length   84/12, alignment  3/15, found:	124.562
Length   84/12, alignment  3/15, fail:	169.454
Length   84/12, alignment  9/ 0, found:	124.534
Length   84/12, alignment  9/ 0, fail:	170.105
Length   84/12, alignment  9/ 3, found:	122.918
Length   84/12, alignment  9/ 3, fail:	169.412
Length   84/12, alignment  9/ 9, found:	123.149
Length   84/12, alignment  9/ 9, fail:	171.07
Length   84/12, alignment  9/15, found:	123.05
Length   84/12, alignment  9/15, fail:	172.408
Length   84/12, alignment 15/ 0, found:	122.98
Length   84/12, alignment 15/ 0, fail:	170.702
Length   84/12, alignment 15/ 3, found:	122.991
Length   84/12, alignment 15/ 3, fail:	171.182
Length   84/12, alignment 15/ 9, found:	123.245
Length   84/12, alignment 15/ 9, fail:	171.159
Length   84/12, alignment 15/15, found:	123.109
Length   84/12, alignment 15/15, fail:	175.656
Length   52/13, alignment  0/ 0, found:	106.277
Length   52/13, alignment  0/ 0, fail:	134.471
Length   52/13, alignment  0/ 3, found:	108.061
Length   52/13, alignment  0/ 3, fail:	134.642
Length   52/13, alignment  0/ 9, found:	109.507
Length   52/13, alignment  0/ 9, fail:	132.884
Length   52/13, alignment  0/15, found:	108.491
Length   52/13, alignment  0/15, fail:	135.023
Length   52/13, alignment  3/ 0, found:	108.038
Length   52/13, alignment  3/ 0, fail:	135.376
Length   52/13, alignment  3/ 3, found:	106.087
Length   52/13, alignment  3/ 3, fail:	137.56
Length   52/13, alignment  3/ 9, found:	106.153
Length   52/13, alignment  3/ 9, fail:	134.417
Length   52/13, alignment  3/15, found:	107.891
Length   52/13, alignment  3/15, fail:	134.509
Length   52/13, alignment  9/ 0, found:	107.781
Length   52/13, alignment  9/ 0, fail:	132.71
Length   52/13, alignment  9/ 3, found:	108.01
Length   52/13, alignment  9/ 3, fail:	134.747
Length   52/13, alignment  9/ 9, found:	107.55
Length   52/13, alignment  9/ 9, fail:	134.722
Length   52/13, alignment  9/15, found:	105.964
Length   52/13, alignment  9/15, fail:	134.452
Length   52/13, alignment 15/ 0, found:	107.925
Length   52/13, alignment 15/ 0, fail:	135.556
Length   52/13, alignment 15/ 3, found:	108.417
Length   52/13, alignment 15/ 3, fail:	132.631
Length   52/13, alignment 15/ 9, found:	107.937
Length   52/13, alignment 15/ 9, fail:	134.566
Length   52/13, alignment 15/15, found:	107.635
Length   52/13, alignment 15/15, fail:	134.679
Length   65/13, alignment  0/ 0, found:	112.442
Length   65/13, alignment  0/ 0, fail:	151.524
Length   65/13, alignment  0/ 3, found:	112.91
Length   65/13, alignment  0/ 3, fail:	149.274
Length   65/13, alignment  0/ 9, found:	114.698
Length   65/13, alignment  0/ 9, fail:	149.298
Length   65/13, alignment  0/15, found:	116.154
Length   65/13, alignment  0/15, fail:	149.445
Length   65/13, alignment  3/ 0, found:	114.664
Length   65/13, alignment  3/ 0, fail:	147.517
Length   65/13, alignment  3/ 3, found:	114.401
Length   65/13, alignment  3/ 3, fail:	149.601
Length   65/13, alignment  3/ 9, found:	114.681
Length   65/13, alignment  3/ 9, fail:	150.587
Length   65/13, alignment  3/15, found:	114.934
Length   65/13, alignment  3/15, fail:	149.572
Length   65/13, alignment  9/ 0, found:	114.433
Length   65/13, alignment  9/ 0, fail:	149.421
Length   65/13, alignment  9/ 3, found:	112.726
Length   65/13, alignment  9/ 3, fail:	151.729
Length   65/13, alignment  9/ 9, found:	112.678
Length   65/13, alignment  9/ 9, fail:	149.612
Length   65/13, alignment  9/15, found:	115.456
Length   65/13, alignment  9/15, fail:	149.522
Length   65/13, alignment 15/ 0, found:	115.198
Length   65/13, alignment 15/ 0, fail:	149.702
Length   65/13, alignment 15/ 3, found:	114.732
Length   65/13, alignment 15/ 3, fail:	147.511
Length   65/13, alignment 15/ 9, found:	114.507
Length   65/13, alignment 15/ 9, fail:	149.429
Length   65/13, alignment 15/15, found:	114.885
Length   65/13, alignment 15/15, fail:	149.949
Length   78/13, alignment  0/ 0, found:	123.772
Length   78/13, alignment  0/ 0, fail:	163.585
Length   78/13, alignment  0/ 3, found:	123.448
Length   78/13, alignment  0/ 3, fail:	163.463
Length   78/13, alignment  0/ 9, found:	123.495
Length   78/13, alignment  0/ 9, fail:	163.549
Length   78/13, alignment  0/15, found:	123.787
Length   78/13, alignment  0/15, fail:	163.583
Length   78/13, alignment  3/ 0, found:	121.941
Length   78/13, alignment  3/ 0, fail:	165.198
Length   78/13, alignment  3/ 3, found:	122.047
Length   78/13, alignment  3/ 3, fail:	165.247
Length   78/13, alignment  3/ 9, found:	121.464
Length   78/13, alignment  3/ 9, fail:	165.788
Length   78/13, alignment  3/15, found:	121.729
Length   78/13, alignment  3/15, fail:	165.24
Length   78/13, alignment  9/ 0, found:	121.858
Length   78/13, alignment  9/ 0, fail:	163.139
Length   78/13, alignment  9/ 3, found:	124.152
Length   78/13, alignment  9/ 3, fail:	163.388
Length   78/13, alignment  9/ 9, found:	123.838
Length   78/13, alignment  9/ 9, fail:	163.851
Length   78/13, alignment  9/15, found:	123.735
Length   78/13, alignment  9/15, fail:	163.271
Length   78/13, alignment 15/ 0, found:	124.091
Length   78/13, alignment 15/ 0, fail:	164.982
Length   78/13, alignment 15/ 3, found:	124.181
Length   78/13, alignment 15/ 3, fail:	163.887
Length   78/13, alignment 15/ 9, found:	123.564
Length   78/13, alignment 15/ 9, fail:	163.2
Length   78/13, alignment 15/15, found:	123.67
Length   78/13, alignment 15/15, fail:	163.327
Length   91/13, alignment  0/ 0, found:	128.794
Length   91/13, alignment  0/ 0, fail:	178.577
Length   91/13, alignment  0/ 3, found:	128.688
Length   91/13, alignment  0/ 3, fail:	178.027
Length   91/13, alignment  0/ 9, found:	128.979
Length   91/13, alignment  0/ 9, fail:	178.062
Length   91/13, alignment  0/15, found:	129.033
Length   91/13, alignment  0/15, fail:	178.379
Length   91/13, alignment  3/ 0, found:	128.854
Length   91/13, alignment  3/ 0, fail:	178.056
Length   91/13, alignment  3/ 3, found:	129.508
Length   91/13, alignment  3/ 3, fail:	178.179
Length   91/13, alignment  3/ 9, found:	129.753
Length   91/13, alignment  3/ 9, fail:	178.523
Length   91/13, alignment  3/15, found:	129.555
Length   91/13, alignment  3/15, fail:	178.129
Length   91/13, alignment  9/ 0, found:	129.449
Length   91/13, alignment  9/ 0, fail:	178.906
Length   91/13, alignment  9/ 3, found:	126.962
Length   91/13, alignment  9/ 3, fail:	179.889
Length   91/13, alignment  9/ 9, found:	126.97
Length   91/13, alignment  9/ 9, fail:	179.851
Length   91/13, alignment  9/15, found:	127.045
Length   91/13, alignment  9/15, fail:	180.255
Length   91/13, alignment 15/ 0, found:	126.976
Length   91/13, alignment 15/ 0, fail:	180.313
Length   91/13, alignment 15/ 3, found:	127.073
Length   91/13, alignment 15/ 3, fail:	179.923
Length   91/13, alignment 15/ 9, found:	127.048
Length   91/13, alignment 15/ 9, fail:	180.159
Length   91/13, alignment 15/15, found:	126.789
Length   91/13, alignment 15/15, fail:	180.413
Length   56/14, alignment  0/ 0, found:	109.411
Length   56/14, alignment  0/ 0, fail:	143.353
Length   56/14, alignment  0/ 3, found:	109.453
Length   56/14, alignment  0/ 3, fail:	140.953
Length   56/14, alignment  0/ 9, found:	111.504
Length   56/14, alignment  0/ 9, fail:	141.085
Length   56/14, alignment  0/15, found:	111.203
Length   56/14, alignment  0/15, fail:	140.078
Length   56/14, alignment  3/ 0, found:	111.144
Length   56/14, alignment  3/ 0, fail:	141.786
Length   56/14, alignment  3/ 3, found:	111.227
Length   56/14, alignment  3/ 3, fail:	142.996
Length   56/14, alignment  3/ 9, found:	111.525
Length   56/14, alignment  3/ 9, fail:	140.654
Length   56/14, alignment  3/15, found:	109.306
Length   56/14, alignment  3/15, fail:	141.619
Length   56/14, alignment  9/ 0, found:	111.245
Length   56/14, alignment  9/ 0, fail:	141.671
