                       	__strcpy_chk	normal_strcpy
Length    4, alignment  0/ 0:	76.5272	12.6976
Length    4, alignment  0/ 4:	75.2798	11.5048
Length    4, alignment  4/ 0:	75.5475	11.3888
Length    5, alignment  0/ 0:	76.7712	13.8384
Length    5, alignment  0/ 0:	76.5642	13.8809
Length    5, alignment  0/ 5:	70.0372	12.2137
Length    5, alignment  5/ 0:	71.2834	11.9726
Length    6, alignment  0/ 0:	76.9147	15.832
Length    6, alignment  0/ 0:	76.9815	15.9122
Length    6, alignment  0/ 6:	67.8472	13.4157
Length    6, alignment  6/ 0:	72.6429	12.1864
Length    7, alignment  0/ 0:	76.2804	15.2892
Length    7, alignment  0/ 0:	76.2139	15.2797
Length    7, alignment  0/ 7:	70.6165	12.6805
Length    7, alignment  7/ 0:	70.8799	12.8827
Length    8, alignment  0/ 0:	78.2466	17.7302
Length    8, alignment  0/ 0:	78.3139	17.6507
Length    8, alignment  0/ 0:	78.2398	17.622
Length    8, alignment  0/ 0:	78.1033	17.7193
Length    9, alignment  0/ 0:	78.2186	18.9043
Length    9, alignment  0/ 0:	78.0193	18.9177
Length    9, alignment  0/ 1:	72.0743	19.0736
Length    9, alignment  1/ 0:	72.5764	19.1749
Length   10, alignment  0/ 0:	81.5043	20.7125
Length   10, alignment  0/ 0:	80.8601	20.6976
Length   10, alignment  0/ 2:	70.4042	20.5808
Length   10, alignment  2/ 0:	72.8506	20.3054
Length   11, alignment  0/ 0:	79.4599	21.6036
Length   11, alignment  0/ 0:	79.1507	21.7134
Length   11, alignment  0/ 3:	72.6065	20.2594
Length   11, alignment  3/ 0:	72.6926	20.4687
Length   12, alignment  0/ 0:	80.5637	23.7777
Length   12, alignment  0/ 0:	81.3759	23.9255
Length   12, alignment  0/ 4:	80.3738	20.9034
Length   12, alignment  4/ 0:	80.362	23.2805
Length   13, alignment  0/ 0:	81.1007	24.9697
Length   13, alignment  0/ 0:	81.0416	24.9571
Length   13, alignment  0/ 5:	73.4945	24.7329
Length   13, alignment  5/ 0:	75.937	24.3428
Length   14, alignment  0/ 0:	82.6907	29.6901
Length   14, alignment  0/ 0:	82.696	25.8235
Length   14, alignment  0/ 6:	74.0688	22.7617
Length   14, alignment  6/ 0:	76.1293	23.6394
Length   15, alignment  0/ 0:	82.6893	26.256
Length   15, alignment  0/ 0:	82.5511	26.1438
